name1,name2
China,china
US,us
Germany,germany
France,france
Spain,spain
Great-Britain,great-britain
California,california
Ontario,ontario
Nordrhein-Westfalen,nordrhein-westfalen,
bayern,bayern
hessen,hessen
schleswig-holstein,schleswig-holstein
baden-wuerttemberg,baden-wuerttemberg
mecklenburg-vorpommern,mecklenburg-vorpommern
niedersachsen,niedersachsen
brandenburg,brandenburg
rheinland-pfalz,rheinland-pfalz
sachsen-anhalt,sachsen-anhalt
sachsen,sachsen
thueringen,thueringen
saarland,saarland
hamburg,hamburg
berlin,berlin
bremen,bremen
