lat,lon
52.5037272,13.2823718
52.504293,13.2827047
52.5051202,13.2828139
52.5054972,13.2828394
52.5062206,13.283015
52.506434,13.2831319
52.5067215,13.283313
52.5086169,13.2846003
52.5115569,13.2862166
52.5121595,13.2863692
52.5140104,13.2865211
52.5150294,13.2861825
52.5142646,13.2864666
52.5156246,13.2857117
52.5165162,13.2845489
52.5167365,13.2842972
52.5172758,13.2838655
52.5230571,13.281415
52.5242436,13.2812583
52.5261625,13.2817011
52.5283028,13.282772
52.5297245,13.2837247
52.5313298,13.2852579
52.5321687,13.2866424
52.5326279,13.2876437
52.5332103,13.2896471
52.5334738,13.2913755
52.5335178,13.291972
52.4948346,13.2678955
52.498557,13.2728545
52.4990373,13.2736405
52.4991636,13.2739509
52.499308,13.2744697
52.4996552,13.2786268
52.4999593,13.2797587
52.5002536,13.2803717
52.5010638,13.2808783
52.5014781,13.2807581
52.5018785,13.2806792
52.3023976,13.0839336
52.3013558,13.0815673
52.3005574,13.0708865
52.3029341,12.9732973
52.2992448,13.0280209
52.298333,13.0349739
52.2987889,13.0385933
52.3002304,13.0430829
52.3004566,13.0438092
52.3009466,13.0461352
52.3010773,13.0471498
52.3011377,13.0480274
52.301124,13.0506782
52.3009669,13.0533374
52.3006934,13.061641
52.3003708,13.0714009
52.2877549,12.9156375
52.2890517,12.9166288
52.291032,12.920958
52.291262,12.9219742
52.3017418,13.0847445
52.3020069,13.0849674
52.3026598,13.0854243
52.3008661,13.0621804
52.301176,13.0530294
52.3013433,13.0485404
52.3012362,13.0469272
52.3008889,13.0447209
52.3005646,13.043507
52.3004237,13.0430332
52.298902,13.0381165
52.2986476,13.0365384
52.2985699,13.0328749
52.2987277,13.0313134
52.3025304,13.0171547
52.2946409,12.9359436
52.2918884,12.9238435
52.507171,13.2822265
52.5346921,13.2925635
52.5361544,13.2933575
52.5396185,13.2953751
52.5409143,13.2959016
52.543891,13.297533
52.5465246,13.2994775
52.546937,13.2997873
52.5490869,13.3015386
52.5325817,13.2871553
52.5316383,13.285439
52.5310203,13.2846746
52.5298227,13.2836361
52.528351,13.2826006
52.5261729,13.2815159
52.5242398,13.2810743
52.5231126,13.2812158
52.517457,13.2835717
52.5167734,13.2840221
52.5163525,13.2843518
52.5154095,13.2848188
52.5139027,13.285341
52.5133782,13.2854554
52.5125303,13.2855252
52.5107227,13.2850888
52.5095501,13.2843342
52.509171,13.2840461
52.5081564,13.283215
52.5081132,13.2830483
52.551676,13.3034957
52.5504546,13.3024437
52.5487544,13.3010409
52.5469959,13.2996159
52.5438613,13.2972841
52.5423457,13.2964766
52.5396395,13.2948933
52.5368855,13.2935546
52.5349159,13.2924569
52.5348235,13.2923838
52.3089734,13.0895432
52.3128613,13.0920756
52.3132228,13.0923393
52.3136775,13.0926362
52.3157157,13.0939639
52.3163034,13.0944274
52.3168543,13.0949681
52.3222476,13.1006072
52.3240112,13.1024693
52.3269322,13.1055425
52.3278397,13.1066239
52.3287629,13.1080745
52.3291647,13.1088753
52.3298778,13.1106449
52.3309502,13.1142756
52.3447687,13.1410154
52.3599401,13.1406682
52.3625985,13.1417321
52.3680356,13.149044
52.3701801,13.150056
52.3755635,13.1500558
52.3796336,13.1500926
52.3836967,13.1522828
52.3872479,13.1545983
52.388435,13.1557285
52.3894272,13.1571587
52.390192,13.1587466
52.3908991,13.1610554
52.3927543,13.1686942
52.3941466,13.1745137
52.3943403,13.1752604
52.3947855,13.1766852
52.3958645,13.1793116
52.3967816,13.1809153
52.3981636,13.1827963
52.3996509,13.1844602
52.4064669,13.1921529
52.4096451,13.1957664
52.4101547,13.1962708
52.4106399,13.1966333
52.4118703,13.1973028
52.4127813,13.1975345
52.4132524,13.1975688
52.4137618,13.1975637
52.4155071,13.1972288
52.4160428,13.1971125
52.4187838,13.1964733
52.4218725,13.195789
52.4222212,13.1957131
52.424306,13.1943378
52.4249995,13.1931941
52.4257557,13.1921103
52.4266336,13.1914378
52.4285257,13.1913582
52.4313799,13.1920694
52.4334602,13.1926103
52.434071,13.1928825
52.4351793,13.1937807
52.4365017,13.1954145
52.4373085,13.1964308
52.4403946,13.2003583
52.4425386,13.2030433
52.4582999,13.222963
52.4672819,13.2343654
52.4694504,13.2370733
52.4712229,13.2393194
52.472812,13.2412921
52.4893003,13.2609068
52.4941773,13.2670635
52.5027831,13.2806223
52.4971467,13.2705573
52.4942603,13.2668918
52.4893758,13.2607447
52.4802398,13.2494362
52.4752017,13.243751
52.471589,13.239473
52.4695045,13.2368389
52.4674241,13.2341675
52.4579469,13.2222144
52.4426662,13.2029026
52.4376836,13.1966157
52.4367174,13.1953936
52.4364773,13.1950953
52.4340847,13.1926955
52.4318671,13.1919966
52.4285318,13.1911744
52.4272554,13.1910439
52.4262394,13.1914601
52.4256898,13.1919492
52.4245927,13.1935628
52.4226204,13.1954271
52.4173231,13.196603
52.4153422,13.197025
52.4140198,13.1973001
52.4128594,13.1973112
52.4123362,13.1972083
52.4107185,13.1964359
52.4104671,13.196247
52.4096504,13.1954746
52.4064669,13.1918868
52.4024168,13.1872834
52.4021634,13.1869906
52.3997418,13.184236
52.3969422,13.1808091
52.395943,13.1790885
52.3949688,13.1767195
52.3948012,13.176256
52.3945394,13.1753806
52.394288,13.1744278
52.3928603,13.168526
52.3905167,13.1591671
52.389972,13.1578196
52.3890396,13.1561888
52.3884372,13.1554078
52.3874073,13.154475
52.3867038,13.1539892
52.3853829,13.153125
52.382266,13.1510905
52.3807572,13.1502236
52.3787527,13.149747
52.3749444,13.1498333
52.3732159,13.1498889
52.3700404,13.1498225
52.3686921,13.1492337
52.3634276,13.1422127
52.3625022,13.1413922
52.3599253,13.1404284
52.3428811,13.1403983
52.3399353,13.1384951
52.3372053,13.1345545
52.3359951,13.131242
52.3292703,13.1087335
52.3290587,13.108301
52.3279393,13.1064523
52.3276823,13.1061347
52.3268955,13.1052335
52.3222424,13.1003411
52.3167336,13.094599
52.3161355,13.0940497
52.3158416,13.0938266
52.3135359,13.0922866
52.3090269,13.0893203
52.3043212,13.0862263
52.1295552,12.7489515
52.1299515,12.7495985
52.1343035,12.7546714
52.1351428,12.7553752
52.1353926,12.7553235
52.1352373,12.7549559
52.1308442,12.7498863
52.1306614,12.7497268
52.1304796,12.7496853
51.9734363,12.4966132
51.9750686,12.5027873
51.9769515,12.5089914
51.9786686,12.5139316
51.9801808,12.5181918
51.9825203,12.5247975
51.984648,12.5307759
51.98583,12.5336144
51.9874851,12.5369115
51.9889103,12.5392993
51.9925967,12.5448022
51.9958023,12.5495583
51.9991284,12.5544695
52.0016731,12.5580359
52.0043516,12.5612597
52.005926,12.5630824
52.0093988,12.567077
52.0114552,12.5697908
52.0133109,12.5731287
52.017022,12.5820129
52.0192272,12.5873694
52.0212663,12.5923355
52.0221427,12.5944779
52.0231866,12.5965959
52.0239579,12.597876
52.0255078,12.599905
52.027889,12.6024023
52.0287598,12.6034073
52.0295143,12.6045037
52.03016,12.6056192
52.031064,12.6076028
52.0313998,12.6085552
52.0323304,12.6124547
52.0350617,12.6194321
52.0361097,12.6207385
52.0395998,12.6239421
52.0397813,12.6241146
52.0407579,12.6251926
52.0414695,12.6261681
52.0425425,12.6282151
52.0450632,12.6340111
52.0486059,12.6416731
52.0498683,12.6436411
52.0520302,12.6463195
52.05288,12.6471867
52.054269,12.6483355
52.0569685,12.6502081
52.0596301,12.6518715
52.0632363,12.6542089
52.067963,12.6572738
52.0712176,12.6594732
52.0745938,12.662239
52.0769547,12.6644514
52.0795461,12.6671014
52.0822692,12.6702986
52.0846295,12.6734797
52.0870278,12.6768611
52.0924652,12.6845487
52.0944398,12.6881333
52.0964951,12.6922031
52.098789,12.6965672
52.1006318,12.6993911
52.1032041,12.703089
52.1066962,12.7080086
52.1092615,12.7116098
52.1112793,12.7147962
52.1127113,12.7176155
