lat,lon
43.6751621,-79.361332
43.7247576,-79.3302633
43.7311828,-79.3304266
43.7412456,-79.332082
43.7418685,-79.3321184
43.7459924,-79.3329589
43.747316,-79.3332228
43.7484115,-79.3333255
43.7496991,-79.333434
43.7508526,-79.3335368
43.7518932,-79.3336887
43.7530819,-79.3339332
43.7539499,-79.3341564
43.7555309,-79.3346901
43.7570993,-79.3352722
43.7580721,-79.3355379
43.7585288,-79.3356293
43.7598961,-79.3359741
43.7607635,-79.3361923
43.7621068,-79.3365396
43.7620627,-79.3367954
43.7597997,-79.3362114
43.7569934,-79.3355063
43.7518511,-79.3339359
43.7483926,-79.3335753
43.7472755,-79.3334668
43.7459194,-79.3331825
43.7425388,-79.3323596
43.7405634,-79.3322668
43.7369429,-79.3322029
43.7332306,-79.3314236
43.7313923,-79.3310528
43.7266871,-79.3308931
43.7268858,-79.3308916
43.7255298,-79.3305335
43.7583278,-79.3353387
43.7583734,-79.3347933
43.7583316,-79.3345373
43.7581663,-79.3342889
43.7579603,-79.3341729
43.7574937,-79.3343235
43.7573685,-79.3345373
43.7573365,-79.334799
43.7573711,-79.3350063
43.7574907,-79.3352281
43.7660125,-79.3370305
43.7668941,-79.3371065
43.7683871,-79.3374545
43.7713245,-79.3385081
43.7715312,-79.3385492
43.7765263,-79.3394077
43.7768764,-79.3393574
43.777175,-79.3391455
43.7773238,-79.3388794
43.7773697,-79.3385355
43.7773236,-79.338217
43.7772189,-79.3379727
43.776984,-79.3377281
43.7767257,-79.3376506
43.7766588,-79.3376542
43.7631489,-79.3370317
43.7637347,-79.3372422
43.7644871,-79.33753
43.7652067,-79.3378231
43.7656882,-79.3380513
43.7682602,-79.3386278
43.7686226,-79.3385877
43.7689486,-79.3384187
43.7692374,-79.3381282
43.769538,-79.3366374
43.7692445,-79.3357963
43.768719,-79.3337311
43.7684159,-79.3333717
43.7689419,-79.3343753
43.7693677,-79.3353996
43.7697891,-79.3364489
43.7706907,-79.3377363
43.7710194,-79.3380354
43.7712954,-79.3382261
43.7702809,-79.3392712
43.7682613,-79.3388785
43.7640206,-79.336917
43.7668607,-79.3365529
43.7673278,-79.3360834
43.7680112,-79.3393454
43.7672924,-79.3413567
43.7676209,-79.3358035
43.7675206,-79.3343448
43.76806,-79.3282959
43.7677585,-79.3429153
43.7792244,-79.3400211
43.7786455,-79.3404174
43.7674412,-79.3471503
43.7671785,-79.351032
43.7666169,-79.3536635
43.7669408,-79.3471321
43.7677137,-79.3290457
43.767764,-79.3281939
43.768335,-79.3324498
43.7682983,-79.3273776
43.7685261,-79.3303814
43.7685461,-79.3265949
43.7685481,-79.3252053
43.7685744,-79.3211643
43.768579,-79.3193704
43.7687015,-79.3140412
43.7687334,-79.3135922
43.7693502,-79.3203196
43.7671127,-79.319118
43.7681292,-79.3257012
43.7678813,-79.3259759
43.7683514,-79.3228436
43.7681695,-79.3227813
43.7679969,-79.3227424
43.7683607,-79.3227744
43.7681735,-79.320159
43.7680093,-79.3201668
43.7683718,-79.3193434
43.7681833,-79.3192607
43.7680134,-79.3192126
43.7684446,-79.3149136
43.7682617,-79.3148956
43.7680716,-79.3155332
43.866369,-78.9371891
43.8662026,-78.9370634
43.8667137,-78.96171
43.8666835,-78.9608678
43.8551369,-79.0116142
43.8660823,-78.9659033
43.8468006,-79.0526598
43.8465873,-79.0536708
43.8462989,-79.0546501
43.8443377,-79.0591033
43.8434726,-79.0609481
43.8432795,-79.0607608
43.8432078,-79.0615588
43.8428495,-79.0616849
43.8418054,-79.0646583
43.8413844,-79.0648534
43.841063,-79.0662105
43.8408058,-79.0660922
43.8403212,-79.0677947
43.8395704,-79.0693958
43.8393673,-79.0692797
43.8386865,-79.0707873
43.8384082,-79.0718524
43.8377932,-79.073204
43.8370106,-79.0749014
43.8362507,-79.0765207
43.8354585,-79.0782616
43.8349496,-79.079346
43.8340215,-79.0813452
43.8329211,-79.0837373
43.8320221,-79.0856818
43.8308774,-79.0881379
43.8288906,-79.0924601
43.8278902,-79.09463
43.8269255,-79.0967071
43.8261329,-79.0984307
