lat,lon
51.0294557,11.9368125
51.0350751,11.9401375
51.0362275,11.9405879
51.0392815,11.9411378
51.065514,11.9532369
51.0670206,11.953889
51.0682741,11.954349
51.0704728,11.9549835
51.072828,11.9554191
51.0749157,11.9555966
51.1010082,11.9558888
51.1088491,11.9559749
51.1089179,11.9559762
51.1104718,11.9559884
51.1959438,12.0163502
51.2022246,12.0220396
51.2129722,12.0352778
51.2142646,12.0368056
51.2188104,12.0412858
51.2239071,12.0462622
51.2260703,12.0484212
51.2276639,12.0500135
51.2443349,12.0664664
51.2477113,12.0698002
51.2505468,12.0730727
51.2531435,12.0766986
51.2562078,12.0819717
51.2583517,12.0857684
51.2682638,12.1034456
51.2729583,12.1117352
51.2745966,12.1140096
51.2785431,12.1190292
51.2835271,12.1267433
51.2874262,12.1327319
51.2914953,12.1378154
51.2931488,12.1398318
51.2957435,12.1430502
51.3012748,12.1497728
51.3033753,12.1518953
51.3111493,12.1588498
51.3167005,12.1638506
51.3210215,12.1677238
51.3276962,12.1737216
51.3300587,12.1756377
51.3350619,12.1791347
51.3466895,12.1865817
51.3482861,12.1869955
51.3544396,12.1881618
51.3590806,12.1890469
51.3688658,12.1882014
51.3788134,12.1849744
51.3862608,12.182585
51.390876,12.1811131
51.3921385,12.1808283
51.392901,12.1807367
51.3946805,12.1807124
51.3971862,12.1811541
51.3988599,12.1817906
51.4013426,12.1831266
51.4041242,12.1847405
51.4100513,12.1881465
51.4221162,12.1950993
51.4433226,12.2072991
51.4669796,12.2166705
51.4695089,12.2161932
51.4761011,12.2148009
51.4781679,12.2142338
51.4801777,12.2134449
51.4824875,12.2121769
51.4833666,12.2115963
51.4919375,12.2052359
51.4958349,12.2029781
51.4966329,12.2027097
51.4989292,12.2020749
51.5151018,12.1977937
51.5180859,12.1973361
51.5267276,12.1970478
51.5315684,12.1967441
51.5353228,12.1956412
51.5410201,12.1935189
51.5559012,12.187957
51.5578678,12.187423
51.5591845,12.1872494
51.5606702,12.1872916
51.5631749,12.187755
51.5740814,12.1908332
51.5758028,12.1911156
51.577861,12.1910978
51.5797395,12.1907294
51.581344,12.190168
51.5952074,12.1840744
51.5963656,12.1836651
51.5976968,12.1833501
51.5996484,12.1831702
51.600856,12.1832308
51.6055851,12.1846554
51.6104383,12.1866602
51.6240293,12.1922907
51.6245134,12.1924864
