lat,lon
51.2914953,12.1378154
51.2931488,12.1398318
51.2957435,12.1430502
51.3012748,12.1497728
51.3033753,12.1518953
51.3111493,12.1588498
51.3167005,12.1638506
51.3210215,12.1677238
51.3276962,12.1737216
51.3300587,12.1756377
51.3350619,12.1791347
51.3466895,12.1865817
51.3482861,12.1869955
51.3544396,12.1881618
51.3590806,12.1890469
51.3688658,12.1882014
51.3788134,12.1849744
51.3862608,12.182585
51.390876,12.1811131
51.3921385,12.1808283
51.392901,12.1807367
51.3946805,12.1807124
51.3971862,12.1811541
51.3988599,12.1817906
51.4013426,12.1831266
51.4041242,12.1847405
51.4100513,12.1881465
51.4221162,12.1950993
51.4433226,12.2072991
51.456298,12.2147636
51.4592212,12.2159694
51.4611183,12.2164822
51.4631423,12.2167895
51.4669796,12.2166705
51.4695089,12.2161932
51.4761011,12.2148009
51.4781679,12.2142338
51.4801777,12.2134449
51.4824875,12.2121769
51.4833666,12.2115963
51.4958349,12.2029781
51.4966329,12.2027097
51.4989292,12.2020749
51.5151018,12.1977937
51.5180859,12.1973361
51.5267276,12.1970478
51.5315684,12.1967441
51.5353228,12.1956412
51.5410201,12.1935189
51.5406944,12.1934167
51.5351445,12.1954494
51.531548,12.1965067
51.5266843,12.196823
51.5180268,12.1971193
51.5149807,12.1976001
51.4989114,12.2018512
51.4965937,12.2024909
51.4874336,12.2083386
51.4832911,12.2113926
51.4801532,12.2132156
51.4781313,12.2140202
51.4760792,12.2145733
51.4695067,12.215957
51.4592343,12.2157504
51.4563815,12.2145438
51.4433886,12.2070987
51.4310166,12.1999562
51.4276044,12.1979877
51.4262899,12.1972234
51.4217945,12.194645
51.4188094,12.1929231
51.4100897,12.1879034
51.4027785,12.1836695
51.401393,12.1828943
51.3987533,12.1814715
51.3958729,12.1805927
51.3946956,12.1804652
51.3929139,12.1804882
51.3914306,12.1807179
51.3862474,12.1823304
51.3787829,12.184755
51.3687648,12.1879836
51.3664337,12.188742
51.3646982,12.1891578
51.361759,12.1892796
51.3543731,12.1879101
51.3497934,12.1870407
51.3482978,12.1867461
51.3466833,12.1863202
51.3436946,12.1848536
51.3351422,12.1789182
51.3302616,12.1755287
51.3278167,12.1735425
51.321005,12.1674234
51.2959118,12.1428682
50.3287974,12.0218142
50.3325545,12.0192194
50.3868081,11.9709845
50.3896613,11.9791508
50.3927484,11.987679
50.3960278,11.9954698
50.3975907,12.0080564
50.3997774,12.013032
50.4024805,12.0169511
50.4104823,12.0390737
50.4117835,12.0477343
50.4170971,12.0575717
50.4232334,12.0618599
50.4250291,12.0639663
50.4310042,12.0761335
50.4343657,12.0817975
50.4349551,12.084175
50.4345114,12.1350445
50.4365412,12.1474087
50.4429081,12.1593179
50.4470055,12.1639338
50.4510888,12.1703558
50.4620986,12.183819
